STD_YYYYMM,SIDO,비염환자수,심근경색,아토피환자수,천식환자수,뇌졸증
201401,광주광역시,73233,115.0,4121,12921,278.0
201402,광주광역시,82045,98.0,4126,14217,277.0
201403,광주광역시,67145,141.0,4157,14556,336.0
201404,광주광역시,65073,148.0,4518,16042,361.0
201405,광주광역시,50933,140.0,4625,11815,359.0
201406,광주광역시,37243,139.0,4260,8600,300.0
201407,광주광역시,40817,129.0,4961,9113,352.0
201408,광주광역시,47162,127.0,4582,10304,334.0
201409,광주광역시,82401,163.0,4238,13691,379.0
201411,광주광역시,74306,152.0,3440,15101,370.0
201412,광주광역시,68040,127.0,3806,14236,348.0
201501,광주광역시,60461,81.0,4068,11895,341.0
201502,광주광역시,72042,146.0,3739,13144,344.0
201503,광주광역시,76585,147.0,4663,13256,411.0
201504,광주광역시,68260,146.0,4161,13670,400.0
201505,광주광역시,50851,158.0,4918,10958,460.0
201506,광주광역시,36078,124.0,4052,7446,381.0
201507,광주광역시,34253,191.0,5187,6975,398.0
201508,광주광역시,44393,202.0,4912,8963,386.0
201509,광주광역시,85428,183.0,3815,12441,421.0
201511,광주광역시,59373,172.0,3432,11335,413.0
201512,광주광역시,71617,186.0,4024,14356,412.0
201601,광주광역시,66457,162.0,3887,10494,435.0
201602,광주광역시,70054,186.0,3818,12127,446.0
201603,광주광역시,74739,195.0,4186,13090,431.0
201604,광주광역시,61378,164.0,3850,12158,389.0
201605,광주광역시,49286,186.0,4447,10643,416.0
201606,광주광역시,37340,196.0,4721,7372,391.0
201607,광주광역시,38849,178.0,5190,6958,416.0
201608,광주광역시,46631,184.0,5100,7616,433.0
201609,광주광역시,77084,173.0,3702,10675,425.0
201611,광주광역시,71701,184.0,3813,13854,393.0
201612,광주광역시,84830,203.0,3704,13935,452.0
201701,광주광역시,55272,170.0,3823,10326,417.0
201702,광주광역시,52059,172.0,3829,9740,374.0
201703,광주광역시,81675,199.0,4033,12557,427.0
201704,광주광역시,79169,176.0,3996,13348,395.0
201705,광주광역시,52112,160.0,4912,10570,425.0
201706,광주광역시,38626,172.0,4601,7871,437.0
201707,광주광역시,35242,139.0,5346,6758,365.0
201708,광주광역시,50156,170.0,5047,7777,405.0
201709,광주광역시,82085,162.0,4077,10134,440.0
201711,광주광역시,79634,171.0,3885,12961,435.0
201712,광주광역시,86363,156.0,3539,12526,434.0
201801,광주광역시,79647,201.0,3886,11878,466.0
201802,광주광역시,53707,149.0,3679,9008,422.0
201803,광주광역시,72029,180.0,4049,11347,410.0
201804,광주광역시,69046,162.0,4303,11568,444.0
201805,광주광역시,50465,165.0,4667,10065,459.0
201806,광주광역시,38592,181.0,4756,7383,418.0
201807,광주광역시,36458,201.0,5238,6326,441.0
201808,광주광역시,39822,170.0,4395,6997,430.0
201809,광주광역시,84739,162.0,3956,11157,400.0
201811,광주광역시,73166,181.0,3561,12701,405.0
201812,광주광역시,78816,161.0,3745,12313,436.0
201901,광주광역시,58579,183.0,4080,9969,431.0
201902,광주광역시,46500,137.0,3745,7244,377.0
201903,광주광역시,79848,160.0,4147,10814,451.0
201904,광주광역시,79250,171.0,4166,12270,433.0
201905,광주광역시,55498,149.0,4858,9985,464.0
201906,광주광역시,38598,186.0,4189,7381,452.0
201907,광주광역시,41215,186.0,4956,7095,432.0
201908,광주광역시,43402,173.0,5163,6962,473.0
201909,광주광역시,78908,170.0,4133,10327,501.0
201911,광주광역시,69561,177.0,3769,10724,487.0
201912,광주광역시,74694,206.0,3791,10409,503.0
202001,광주광역시,69446,199.0,3845,9288,512.0
202002,광주광역시,38754,157.0,3637,5819,406.0
202003,광주광역시,29328,171.0,4211,4339,418.0
